Image,Method,Total_Detections,Avg_Conf,TP,FP,GT_Count
01147.png,VI,2,0.5299798995256424,2,0,2
01156.png,VI,1,0.6293957829475403,1,0,2
01165.png,VI,2,0.5957408845424652,1,1,2
01186.png,VI,9,0.46399851971202427,4,5,6
01204.png,VI,4,0.5655086934566498,2,2,3
01212.png,VI,4,0.5624982491135597,2,2,3
01223.png,VI,8,0.4979413077235222,5,3,7
01227.png,VI,2,0.5818680673837662,1,1,4
01242.png,VI,4,0.6140011101961136,2,2,2
01249.png,VI,2,0.5521373897790909,1,1,1
01267.png,VI,0,0.0,0,0,0
01270.png,VI,0,0.0,0,0,3
01299.png,VI,0,0.0,0,0,4
01301.png,VI,2,0.7944775819778442,2,0,2
01320.png,VI,2,0.780953973531723,2,0,2
01331.png,VI,2,0.8488178253173828,2,0,2
01345.png,VI,0,0.0,0,0,0
01388.png,VI,0,0.0,0,0,0
01393.png,VI,3,0.4807898203531901,1,2,1
01406.png,VI,2,0.7018555104732513,1,1,1
01413.png,VI,1,0.8371931314468384,1,0,1
01415.png,VI,1,0.7970090508460999,1,0,1
01422.png,VI,3,0.7730425993601481,2,1,2
01432.png,VI,0,0.0,0,0,0
01437.png,VI,0,0.0,0,0,0
01442.png,VI,0,0.0,0,0,3
01443.png,VI,2,0.3250947445631027,0,2,3
01454.png,VI,13,0.4537998758829557,4,9,6
01462.png,VI,11,0.406498754566366,1,10,2
01471.png,VI,11,0.41517881642688403,3,8,4
01482.png,VI,9,0.40994778606626725,2,7,3
01486.png,VI,13,0.47637409888781035,4,9,4
01492.png,VI,9,0.4383193585607741,2,7,2
01494.png,VI,3,0.893024742603302,3,0,3
01505.png,VI,2,0.7118185460567474,2,0,2
01511.png,VI,2,0.5376147478818893,1,1,1
01527.png,VI,3,0.7808313568433126,2,1,2
01531.png,VI,0,0.0,0,0,0
01547.png,VI,0,0.0,0,0,0
01562.png,VI,0,0.0,0,0,0
01579.png,VI,0,0.0,0,0,0
01584.png,VI,9,0.6075905164082845,8,1,8
01587.png,VI,9,0.5452531410588158,7,2,8
01599.png,VI,6,0.5755308568477631,4,2,4
01608.png,VI,8,0.5602680630981922,6,2,6
01640.png,VI,2,0.6177026927471161,2,0,2
01659.png,VI,6,0.4416547218958537,3,3,4
01670.png,VI,7,0.6920494309493473,5,2,5
01673.png,VI,7,0.606930251632418,6,1,7
01707.png,VI,2,0.8276386857032776,2,0,2
01710.png,VI,5,0.4908200979232788,2,3,2
01724.png,VI,4,0.5137901157140732,2,2,2
01729.png,VI,5,0.45977361798286437,2,3,2
01741.png,VI,4,0.5457625091075897,2,2,2
01760.png,VI,3,0.5958200693130493,2,1,2
01773.png,VI,2,0.571653813123703,1,1,1
01779.png,VI,3,0.6783949931462606,2,1,2
01783.png,VI,3,0.6118045846621195,2,1,2
01789.png,VI,3,0.6733954946200053,2,1,2
01803.png,VI,2,0.8697523474693298,2,0,2
01806.png,VI,2,0.8802982270717621,2,0,2
01807.png,VI,3,0.6853082577387491,2,1,2
01811.png,VI,2,0.8951595425605774,2,0,2
01828.png,VI,3,0.6453917721907297,2,1,2
01845.png,VI,8,0.6091895736753941,2,6,2
01856.png,VI,9,0.5364842845333947,2,7,2
01861.png,VI,6,0.5940215637286504,2,4,2
01867.png,VI,0,0.0,0,0,0
01899.png,VI,1,0.8238506317138672,1,0,1
01911.png,VI,1,0.8011631965637207,1,0,1
01912.png,VI,2,0.7329941987991333,1,1,2
01913.png,VI,2,0.7745543718338013,2,0,2
01919.png,VI,2,0.7900263965129852,2,0,2
01929.png,VI,2,0.8048805594444275,2,0,2
01937.png,VI,10,0.49059972167015076,6,4,7
01947.png,VI,12,0.42870695640643436,6,6,6
01954.png,VI,13,0.4510998038145212,8,5,8
01963.png,VI,7,0.5244023885045733,4,3,6
01977.png,VI,7,0.43505158168928965,3,4,3
01981.png,VI,5,0.4304163992404938,2,3,2
01985.png,VI,7,0.3871605694293976,3,4,3
01994.png,VI,5,0.6944567143917084,4,1,4
01996.png,VI,4,0.7898283898830414,4,0,4
02002.png,VI,6,0.6178257415692011,4,2,4
02011.png,VI,4,0.7461903542280197,4,0,4
02033.png,VI,3,0.7351287404696146,3,0,3
02045.png,VI,13,0.5619275180193094,7,6,7
02073.png,VI,10,0.7038096904754638,9,1,9
02083.png,VI,8,0.7296851500868797,7,1,8
02090.png,VI,13,0.5747475486535293,8,5,8
02102.png,VI,8,0.5159969888627529,4,4,4
02119.png,VI,10,0.5659861415624619,6,4,6
02120.png,VI,11,0.6755866327069022,9,2,9
02142.png,VI,5,0.7295261025428772,4,1,4
02163.png,VI,7,0.5423751601151058,3,4,3
02180.png,VI,6,0.5892889002958933,4,2,4
02195.png,VI,13,0.5884190247609065,11,2,13
02213.png,VI,12,0.6717022632559141,11,1,11
02233.png,VI,9,0.610118524895774,4,5,5
02236.png,VI,12,0.5315537999073664,5,7,7
02249.png,VI,6,0.7239369948705038,6,0,7
02278.png,VI,5,0.8151715278625489,5,0,6
02296.png,VI,8,0.6961665078997612,7,1,8
